"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16594","D_29: Kiểm tra trạng thái loading khi tải dữ liệu phim","webkit","2026-09-20","passed","2026-09-20","Dashboard Feature > UI / Responsive & Loading","ui\dashboard\dashboard.spec.ts","",""
"","40049","D_32: Kiểm tra hiển thị nội dung danh sách rạp phim","firefox","2026-09-20","broken","2026-09-20","Dashboard Feature > Cinema List","ui\dashboard\dashboard.spec.ts","",""
"","19528","D_02: Kiểm tra các menu trên header được hiển thị đầy đủ","firefox","2026-09-20","passed","2026-09-20","TopBar / Header Feature - Test Cases (D_01 to D_08 & D_35)","ui\dashboard\header.spec.ts","",""
"","32","D_07: Kiểm tra hiển thị và điều hướng chức năng Đăng Nhập","firefox","2026-09-20","failed","2026-09-20","Login Feature","ui\login.spec.ts","",""
"","3748","D_27: Kiểm tra giao diện trên màn hình desktop","chromium","2026-09-20","passed","2026-09-20","Dashboard Feature > UI / Responsive & Loading","ui\dashboard\dashboard.spec.ts","",""
"","33087","D_14: Kiểm tra dropdown Ngày giờ chiếu hiển thị các suất chiếu khi chưa chọn Phim và Rạp","webkit","2026-09-20","broken","2026-09-20","Dashboard Feature > Movie Search (Quick Booking Bar)","ui\dashboard\dashboard.spec.ts","",""
"","2593","D_04: Kiểm tra điều hướng đến trang Cụm Rạp","chromium","2026-09-20","passed","2026-09-20","TopBar / Header Feature - Test Cases (D_01 to D_08 & D_35)","ui\dashboard\header.spec.ts","",""
"","12137","D_33: Chọn một rạp để xem lịch chiếu","webkit","2026-09-20","passed","2026-09-20","Dashboard Feature > Cinema List","ui\dashboard\dashboard.spec.ts","",""
"","40083","D_29: Kiểm tra trạng thái loading khi tải dữ liệu phim","firefox","2026-09-20","broken","2026-09-20","Dashboard Feature > UI / Responsive & Loading","ui\dashboard\dashboard.spec.ts","",""
"","26357","D_09: Kiểm tra slider banner hiển thị hình ảnh","webkit","2026-09-20","failed","2026-09-20","Dashboard Feature > Banner","ui\dashboard\dashboard.spec.ts","",""
"","0","D_41: Kiểm tra logo hiển thị tại màn hình chi tiết phim John Cena WWE","webkit","2026-09-20","skipped","2026-09-20","Movie Search & Listing Feature","ui\dashboard\moviesearch.spec.ts","",""
"","30166","D_05: Kiểm tra điều hướng đến trang Tin Tức","webkit","2026-09-20","broken","2026-09-20","TopBar / Header Feature - Test Cases (D_01 to D_08 & D_35)","ui\dashboard\header.spec.ts","",""
"","15234","D_20: Kiểm tra tìm kiếm suất chiếu với đầy đủ thông tin","firefox","2026-09-20","passed","2026-09-20","Dashboard Feature > Movie Search (Quick Booking Bar)","ui\dashboard\dashboard.spec.ts","",""
"","30991","D_22: Kiểm tra pagination của danh sách phim","webkit","2026-09-20","broken","2026-09-20","Dashboard Feature > Movie Listing","ui\dashboard\dashboard.spec.ts","",""
"","14062","D_12: Kiểm tra dropdown Rạp hiển thị danh sách rạp khi chưa chọn Phim","webkit","2026-09-20","passed","2026-09-20","Dashboard Feature > Movie Search (Quick Booking Bar)","ui\dashboard\dashboard.spec.ts","",""
"","18043","D_39: Xem danh sách phim ở trang thứ 2, chọn phim John Cena WWE và kiểm tra hình ảnh poster/trailer phim","chromium","2026-09-20","failed","2026-09-20","Movie Search & Listing Feature","ui\dashboard\moviesearch.spec.ts","",""
"","4925","D_33: Chọn một rạp để xem lịch chiếu","chromium","2026-09-20","passed","2026-09-20","Dashboard Feature > Cinema List","ui\dashboard\dashboard.spec.ts","",""
"","36976","D_32: Kiểm tra hiển thị nội dung danh sách rạp phim","webkit","2026-09-20","failed","2026-09-20","Dashboard Feature > Cinema List","ui\dashboard\dashboard.spec.ts","",""
"","1","D_35: Kiểm tra chức năng Quên mật khẩu","webkit","2026-09-20","skipped","2026-09-20","Login Feature","ui\login.spec.ts","",""
"","1","D_35: Kiểm tra hình ảnh lỗi sau khi click Xem Thêm trong mục Review","webkit","2026-09-20","skipped","2026-09-20","MuiContainer - News Section Feature","ui\dashboard\tintuc.spec.ts","",""
